Date,NIFTY50_Index,Log_Return_pct,Realized_Vol,GARCH_Forecast_Vol,GARCHX_Forecast_Vol,Sentiment_Raw,Sentiment_Rolled,Sentiment_Lagged,Has_Real_News,Sentiment_Label,Position_Size,Strategy_Return,Benchmark_Return,Strategy_Value,Benchmark_Value,High_Vol_Flag,Risk_Regime
2022-04-05,1907.7892593000004,-0.004693359402574465,0.9374181851146945,2.2040685446899824,2.2040685446899824,-0.06031659245491028,0.051351342615530315,0.11781784840261435,1,Neutral,0.3,-0.0014080078207723396,-0.004693359402574465,94867.44417270306,102314.94081457751,1,High Risk
2022-04-06,1892.6175064999995,-0.007984320802498493,1.042430691879766,1.9316971135167391,2.0220018057036953,-0.0450182245778186,-0.04535963027153441,0.051351342615530315,1,Neutral,0.0,-0.002395296240749548,-0.007984320802498493,94640.20854030667,101498.02550422528,1,High Risk
2022-04-07,1880.4545303999998,-0.006447275913592695,1.0785853395472393,2.0749920504135404,2.0033121299237067,-0.2704944219440222,-0.04995202628000606,-0.04535963027153441,1,Neutral,0.0,-0.0,-0.006447275913592695,94640.20854030667,100843.63972911467,1,High Risk
2022-04-08,1903.59750365,0.012231999771061491,1.110427126709191,2.002262295238523,1.9800374808671488,0.3784946828688446,0.005868953247006055,-0.04995202628000606,1,Neutral,1.0,0.0,0.012231999771061491,94640.20854030667,102077.15910719421,0,Low Risk
2022-04-11,1894.9167297,-0.00457062342217551,0.8239752006343407,2.0478874752447926,1.991192395451224,-0.16266893558204173,0.02451647202170754,0.050746102618643284,1,Neutral,1.0,-0.00457062342217551,-0.00457062342217551,94207.64378647278,101610.60285290972,0,Low Risk
2022-04-12,1878.0377472999996,-0.008947415140255469,0.8753236355100917,1.9264445108578607,1.9620197471934557,-0.5784020721912384,-0.061831107934347145,0.02451647202170754,1,Neutral,0.7,-0.008947415140255469,-0.008947415140255469,93364.7288881299,100701.45060653312,0,Low Risk
2022-04-13,1877.74275815,-0.00015708540484625814,0.8362251704994785,2.1240384477078447,1.9556842575281734,-0.5643594264984131,-0.1483879749211129,-0.061831107934347145,1,Negative,0.7,-0.00010995978339238069,-0.00015708540484625814,93354.46252276488,100685.63187839599,0,Low Risk
2022-04-18,1864.5487563500003,-0.00705132479245874,0.8454043100609285,1.8137081972452802,2.0193868016014376,-0.307033341863881,-0.07576344580279652,-0.05513995919110521,1,Neutral,0.0,-0.004935927354721118,-0.00705132479245874,92893.67167751348,99975.66478608748,1,High Risk
2022-04-19,1838.4252289,-0.014109718810344597,0.5173614404496882,2.0286272406505774,2.0286272406505774,-0.15024243853986263,-0.01459778385259999,-0.07576344580279652,1,Neutral,0.0,-0.0,-0.014109718810344597,92893.67167751348,98565.0362680785,1,High Risk
2022-04-20,1845.1189910999997,0.003634417923807759,0.7075519002246642,2.438293250294519,1.955543153097098,0.25060536282566875,0.1018257574794117,-0.01459778385259999,1,Positive,1.0,0.0,0.003634417923807759,92893.67167751348,98923.26280255197,0,Low Risk
2022-04-21,1871.5337509999997,0.014214513162908761,1.074342046697523,1.7996244276929385,1.9239422180836618,0.49777326601393085,0.0433006175595617,0.1018257574794117,1,Neutral,1.0,0.014214513162908761,0.014214513162908761,94214.10999632442,100329.40882377673,0,Low Risk
2022-04-22,1853.3285034499997,-0.009775068858073197,1.1460408285216477,2.1496573359328277,1.9646257693530682,-0.5163854156931241,-0.0535602384755417,0.0433006175595617,1,Neutral,0.7,-0.009775068858073197,-0.009775068858073197,93293.16058370826,99348.68194403453,0,Low Risk
2022-04-25,1826.6782379999997,-0.014484066595543878,1.2604287463943205,2.1682866939267105,1.998154550951258,-0.24107172298762533,-0.11977137328738059,-0.12919446169827423,1,Negative,0.7,-0.010138846616880715,-0.014484066595543878,92347.27553814603,97909.70901857762,0,Low Risk
